RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fargo,ND,2-Bedroom,0,0,0,0,0,770,749,753,716
Edison,NJ,2-Bedroom,0,0,0,0,0,0,0,1650,1777
West Covina,CA,2-Bedroom,0,0,0,0,0,0,0,1880,1934
Carlsbad,CA,2-Bedroom,0,1897,1741,1777,1953,2143,2159,2134,2281
Vacaville,CA,2-Bedroom,0,0,0,0,0,0,0,1747,1778
Bowling Green,KY,2-Bedroom,0,0,0,0,0,0,0,813,809
Lewisville,TX,2-Bedroom,0,0,904,983,1099,1083,1209,1219,1220
Beaverton,OR,2-Bedroom,0,1013,1007,972,1022,1169,1352,1354,1434
Saint Augustine,FL,2-Bedroom,0,0,0,0,0,0,0,1213,1268
West Palm Beach,FL,2-Bedroom,1311,1267,1113,1126,1210,1277,1422,1470,1532
Columbia,MO,2-Bedroom,0,0,0,582,605,625,638,642,671
Erie,PA,2-Bedroom,0,0,0,0,0,0,0,687,675
Cedar Rapids,IA,2-Bedroom,0,0,0,0,649,637,681,697,690
Jacksonville,NC,2-Bedroom,0,765,743,700,694,660,652,652,650
Norcross,GA,2-Bedroom,0,694,701,701,745,779,845,929,1039
Wichita Falls,TX,2-Bedroom,0,0,0,0,0,0,0,682,660
Fairfield,CA,2-Bedroom,0,0,0,0,0,0,0,1785,1766
San Mateo,CA,2-Bedroom,0,0,2335,2639,2854,3071,3247,3134,3264
Daly City,CA,2-Bedroom,0,0,0,0,0,0,0,2951,2990
San Leandro,CA,2-Bedroom,0,0,0,0,0,0,0,2119,2165
Dearborn,MI,2-Bedroom,0,0,0,0,0,0,0,1422,1529
Sandy Springs,GA,2-Bedroom,0,978,944,941,1154,1284,1335,1284,1365
Greece,NY,2-Bedroom,0,0,0,0,0,0,0,916,930
Albany,NY,2-Bedroom,0,0,0,0,0,1086,1171,1093,1135
Richardson,TX,2-Bedroom,0,962,1009,1196,1338,1381,1457,1508,1741
Portsmouth,VA,2-Bedroom,0,950,920,899,949,908,928,934,925
Longview,TX,2-Bedroom,0,0,0,0,0,0,0,759,762
Laurel,MD,2-Bedroom,0,0,0,0,0,0,0,1855,1642
Orange Park,FL,2-Bedroom,0,0,0,0,0,0,0,880,953
Spring Hill,FL,2-Bedroom,0,702,708,718,748,764,779,791,872
Duluth,GA,2-Bedroom,0,0,0,0,0,0,0,1146,1284
Davie,FL,2-Bedroom,0,1177,1224,1272,1271,1323,1455,1499,1570
West Chester,PA,2-Bedroom,0,1125,1281,1369,1430,1512,1577,1580,1526
Newton,MA,2-Bedroom,0,0,1924,2059,2058,2120,2136,2170,2263
Brockton,MA,2-Bedroom,0,0,1170,1183,1208,1241,1233,1261,1420
Albany,GA,2-Bedroom,0,0,0,0,0,0,0,482,494
Lakeland,FL,2-Bedroom,0,0,0,0,0,0,0,915,944
Lawrence,KS,2-Bedroom,0,0,0,0,0,0,0,757,749
Lehigh Acres,FL,2-Bedroom,0,621,625,639,683,766,855,918,950
Napa,CA,2-Bedroom,0,0,0,0,0,0,2250,2132,2322
Mission Viejo,CA,2-Bedroom,0,1939,1806,1838,2011,2059,2204,2257,2349
Santa Cruz,CA,2-Bedroom,0,0,0,0,0,0,0,2666,2740
Antioch,CA,2-Bedroom,0,0,0,0,0,0,0,1536,1666
Centennial,CO,2-Bedroom,0,0,1251,1298,1497,1670,1687,1601,1686
Riverview,FL,2-Bedroom,0,951,988,1001,1031,1083,1144,1235,1298
South Bend,IN,2-Bedroom,0,614,596,602,598,614,641,696,721
Arvada,CO,2-Bedroom,0,0,0,0,0,0,0,1679,1696
Lawton,OK,2-Bedroom,0,581,600,597,578,572,602,604,607
Annapolis,MD,2-Bedroom,0,0,0,0,2339,1934,1814,1703,1672
Indio,CA,2-Bedroom,0,0,0,0,0,0,0,1725,1878
Highlands Ranch,CO,2-Bedroom,0,0,1325,1358,1463,1644,1730,1780,1823
Federal Way,WA,2-Bedroom,0,0,0,0,0,0,0,1274,1398
Hillsboro,OR,2-Bedroom,0,0,1131,1158,1229,1348,1528,1518,1574
Champaign,IL,2-Bedroom,0,0,698,733,774,788,798,748,744
Greeley,CO,2-Bedroom,0,0,0,0,0,850,911,926,957
Canton,MI,2-Bedroom,0,0,0,0,0,0,0,1197,1295
Elgin,IL,2-Bedroom,0,0,0,0,0,0,0,1264,1301
Meridian,ID,2-Bedroom,0,650,665,684,682,723,785,798,855
Santa Monica,CA,2-Bedroom,0,0,0,0,0,4147,4066,4044,4023
Yakima,WA,2-Bedroom,0,0,0,0,0,0,0,846,844
